pos,vertex,degree,p_size,cliques,seconds
216,41878,1,1,1,1.5050000001792796e-06
217,942,1,1,1,1.6710000636521727e-06
218,943,1,1,1,2.005999704124406e-06
219,54276,1,0,0,1.0069998097606003e-06
220,955,1,1,1,1.6990006770356558e-06
221,41942,1,1,1,1.9870003598043695e-06
222,58329,1,1,1,1.8339997041039169e-06
223,58330,1,1,1,1.4389997886610217e-06
224,82907,1,1,1,1.8410000848234631e-06
225,17375,1,1,1,2.1470004867296666e-06
226,66534,1,1,1,2.327999936824199e-06
227,998,1,1,1,1.5750001693959348e-06
228,17389,1,1,1,2.2800004444434308e-06
229,17392,1,1,1,1.6920002963161096e-06
230,63188,1,0,0,1.0320000001229346e-06
231,17397,1,1,1,1.818999407987576e-06
232,66550,1,1,1,1.5350005924119614e-06
233,58362,1,1,1,1.8700002328841947e-06
234,58363,1,1,1,2.013000084843952e-06
235,1025,1,1,1,1.9600001905928366e-06
236,58374,1,1,1,1.7849997675511986e-06
237,58375,1,1,1,1.7639995348872617e-06
238,1030,1,1,1,1.8989994714502245e-06
239,66589,1,1,1,2.368000423302874e-06
240,17442,1,1,1,1.5260002328432165e-06
241,17444,1,1,1,1.7729998944560066e-06
242,28149,1,0,0,1.100000190490391e-06
243,9254,1,1,1,1.7550000848132186e-06
244,21602,1,0,0,1.1070005712099373e-06
245,25640,1,1,1,1.7840002328739502e-06
246,48219,1,0,0,9.34000127017498e-07
247,50232,1,1,1,2.0139996195212007e-06
248,50235,1,1,1,1.9959998098784126e-06
249,74817,1,1,1,1.8760001694317907e-06
250,74818,1,1,1,1.8299997464055195e-06
251,14663,1,0,0,1.100000190490391e-06
252,33859,1,1,1,1.7479997040936723e-06
253,58434,1,1,1,2.2779995560995303e-06
254,9287,1,1,1,1.755999619490467e-06
255,1121,1,1,1,1.5920004443614744e-06
256,2380,1,0,0,1.0170006135012954e-06
257,17509,1,1,1,1.630000042496249e-06
258,88050,1,0,0,1.014999725157395e-06
259,9321,1,1,1,2.1320001906133257e-06
260,83056,1,1,1,1.9829994926112704e-06
261,83057,1,1,1,1.8720002117333934e-06
262,33926,1,1,1,2.009000127145555e-06
263,33927,1,1,1,1.922000592458062e-06
264,66703,1,1,1,1.764999979059212e-06
265,58512,1,1,1,2.035999386862386e-06
266,33936,1,1,1,1.8190003174822778e-06
267,87424,1,0,0,9.989998943638057e-07
268,83089,1,1,1,3.793000360019505e-06
269,58514,1,1,1,1.782999788702e-06
270,70270,1,0,0,1.1069996617152356e-06
271,83095,1,1,1,2.2490003175335005e-06
272,50327,1,1,1,1.95199936570134e-06
273,7603,1,0,0,1.1419997463235632e-06
274,58520,1,1,1,1.6719995983294211e-06
275,71960,1,0,0,1.0100002327817492e-06
276,9382,1,1,1,1.690000317466911e-06
277,38988,1,0,0,1.0519997886149213e-06
278,66727,1,1,1,2.2399999579647556e-06
279,9390,1,1,1,2.065999979095068e-06
280,74927,1,1,1,1.8079999790643342e-06
281,33977,1,1,1,1.8989994714502245e-06
282,33980,1,1,1,1.8359996829531156e-06
283,50366,1,1,1,2.1309997464413755e-06
284,58575,1,1,1,2.2220001483219676e-06
285,1235,1,1,1,1.8580003597890027e-06
286,42196,1,1,1,1.607999365660362e-06
287,1236,1,1,1,1.7429993022233248e-06
288,58579,1,1,1,1.7419997675460763e-06
289,42197,1,1,1,1.9990002328995615e-06
290,50399,1,1,1,1.714000063657295e-06
291,66797,1,1,1,1.8989994714502245e-06
292,74999,1,1,1,1.7630000002100132e-06
293,75010,1,1,1,1.9680001059896313e-06
294,83209,1,1,1,1.475999852118548e-06
295,1296,1,1,1,1.9240005713072605e-06
296,72026,1,0,0,1.0290004865964875e-06
297,50449,1,1,1,2.1249998098937795e-06
298,83226,1,1,1,1.8119999367627315e-06
299,59797,1,0,0,1.1230004020035267e-06
300,83227,1,1,1,2.1109999579493888e-06
301,9508,1,1,1,1.948999852174893e-06
302,42284,1,1,1,1.773999429133255e-06
303,34104,1,1,1,2.0459992811083794e-06
304,66883,1,1,1,1.5920004443614744e-06
305,88807,1,0,0,1.047999830916524e-06
306,66888,1,1,1,1.9839999367832206e-06
307,83278,1,1,1,1.7359998309984803e-06
308,34130,1,1,1,1.7869997464003973e-06
309,25942,1,1,1,1.817000338633079e-06
310,66902,1,1,1,1.9320004867040552e-06
311,75097,1,1,1,1.759000042511616e-06
312,9577,1,1,1,1.9260005501564592e-06
313,25966,1,1,1,1.6070007404778153e-06
314,83317,1,1,1,1.7279999156016856e-06
315,34165,1,1,1,1.9529998098732904e-06
316,50551,1,1,1,1.493999661761336e-06
317,50552,1,1,1,1.7570000636624172e-06
318,61177,1,0,0,1.0490002750884742e-06
319,50553,1,1,1,1.9409999367780983e-06
320,75132,1,1,1,1.8119999367627315e-06
