pos,vertex,degree,p_size,cliques,seconds
551,6446,1,0,0,1.4690012903884053e-06
552,52361,1,1,1,2.348999259993434e-06
553,3210,1,1,1,2.32499951380305e-06
554,56169,1,0,0,1.5650002751499414e-06
555,68750,1,1,1,3.415199898881838e-05
556,60560,1,1,1,4.98300141771324e-06
557,101521,1,1,1,3.1470008252654225e-06
558,36475,1,0,0,1.9069993868470192e-06
559,126103,1,1,1,2.62100002146326e-06
560,126106,1,1,1,2.2799977159593254e-06
561,3235,1,1,1,2.4649998522363603e-06
562,36015,1,1,1,2.192999090766534e-06
563,36016,1,1,1,2.3710017558187246e-06
564,63676,1,0,0,1.720000000204891e-06
565,36029,1,1,1,2.302000211784616e-06
566,44239,1,1,1,2.3409993445966393e-06
567,30016,1,0,0,1.5120021998882294e-06
568,109781,1,1,1,2.268003299832344e-06
569,93406,1,1,1,2.3560023691970855e-06
570,36062,1,1,1,2.6130001060664654e-06
571,109792,1,1,1,2.4559994926676154e-06
572,109793,1,1,1,2.3840002540964633e-06
573,109796,1,1,1,1.9099970813840628e-06
574,101612,1,1,1,2.281998604303226e-06
575,3329,1,1,1,2.0099978428333998e-06
576,102759,1,0,0,1.3999997463542968e-06
577,60676,1,1,1,2.5769986677914858e-06
578,118024,1,1,1,2.277996827615425e-06
579,111419,1,0,0,1.5320001693908125e-06
580,11530,1,1,1,2.128999767592177e-06
581,11552,1,1,1,2.6950001483783126e-06
582,63674,1,0,0,1.5549994714092463e-06
583,52527,1,1,1,2.22500239033252e-06
584,118067,1,1,1,2.230000973213464e-06
585,85568,1,0,0,1.4760007616132498e-06
586,36150,1,1,1,2.2599997464567423e-06
587,65260,1,0,0,1.4920005924068391e-06
588,68931,1,1,1,2.0470033632591367e-06
589,93518,1,1,1,2.3659995349589735e-06
590,93521,1,1,1,2.163997123716399e-06
591,126293,1,1,1,3.815999662037939e-06
592,52591,1,1,1,2.578002749942243e-06
593,77182,1,1,1,2.725002559600398e-06
594,60815,1,1,1,2.4269975256174803e-06
595,44707,1,0,0,1.5920013538561761e-06
596,11665,1,1,1,2.459000825183466e-06
597,60824,1,1,1,2.373999450355768e-06
598,93597,1,1,1,2.263997885165736e-06
599,56796,1,0,0,1.4239994925446808e-06
600,93608,1,1,1,2.144999598385766e-06
