pos,vertex,degree,p_size,cliques,seconds
2235,43255,2,2,1,3.498000296531245e-06
2236,26872,2,2,1,3.326000296510756e-06
2237,2297,2,2,1,3.5039993235841393e-06
2238,56671,2,1,0,1.9069993868470192e-06
2239,43257,2,2,1,3.354001819388941e-06
2240,2299,2,2,1,3.48799949279055e-06
2241,43260,3,2,2,4.765002813655883e-06
2242,68337,2,1,1,2.8040012693963945e-06
2243,35070,2,2,1,4.964997060596943e-06
2244,59647,2,2,1,3.498000296531245e-06
2245,5515,2,1,0,1.7380007193423808e-06
2246,84225,3,2,2,4.174002242507413e-06
2247,10498,2,2,1,3.840999852400273e-06
2248,88689,2,1,0,1.8229984561912715e-06
2249,10502,2,2,1,3.3280011848546565e-06
2250,32494,2,1,0,1.715001417323947e-06
2251,51469,2,2,1,2.962999133160338e-06
2252,76691,2,1,0,1.7860002117231488e-06
2253,10522,2,2,1,3.2089992600958794e-06
2254,10525,2,2,1,3.465000190772116e-06
2255,10526,2,2,1,3.0699993658345193e-06
2256,11211,2,1,0,1.7860002117231488e-06
2257,55504,2,0,0,1.6039994079619646e-06
2258,43300,2,2,1,4.064000677317381e-06
2259,51496,2,2,1,3.787001332966611e-06
2260,2345,2,2,1,3.520999598549679e-06
2261,67883,2,2,1,3.429999196669087e-06
2262,12433,2,1,0,1.7370002751704305e-06
2263,21156,2,0,0,1.6480007616337389e-06
2264,67885,2,2,1,3.339999238960445e-06
2265,59698,2,2,1,3.2750031095929444e-06
2266,22665,2,1,0,1.720000000204891e-06
2267,51508,2,2,1,3.4769982448779047e-06
2268,84280,2,2,1,3.4049990063067526e-06
2269,84281,2,2,1,3.814999217865989e-06
2270,84282,2,2,1,3.2179996196646243e-06
2271,43323,2,2,2,3.46999877365306e-06
2272,67918,2,2,1,3.4769982448779047e-06
2273,88594,2,1,0,1.8799983081407845e-06
2274,59731,2,2,2,3.555000148480758e-06
2275,10583,2,2,1,3.3659998734947294e-06
2276,15921,2,1,0,1.7420024960301816e-06
2277,43355,2,2,1,3.2610005291644484e-06
2278,35164,2,2,1,3.392000508029014e-06
2279,43357,2,2,1,3.3230026019737124e-06
2280,78493,2,1,0,1.7189995560329407e-06
2281,59744,2,2,1,3.740999090950936e-06
2282,76135,2,2,1,3.248998837079853e-06
2283,35181,2,2,1,3.4189979487564415e-06
2284,51585,2,2,1,3.143999492749572e-06
2285,84358,2,2,1,3.1229974410962313e-06
2286,84360,2,2,1,3.5330012906342745e-06
2287,59788,3,2,1,3.908000508090481e-06
2288,36426,3,1,1,3.244000254198909e-06
2289,27023,2,2,1,3.416000254219398e-06
2290,2447,2,2,1,3.1089984986465424e-06
2291,35218,2,2,1,3.3799988159444183e-06
2292,78747,2,1,0,1.6030026017688215e-06
2293,35221,2,2,1,3.1189993023872375e-06
2294,59804,2,2,1,3.221000952180475e-06
2295,51617,2,2,1,3.641001967480406e-06
2296,35234,2,2,1,3.5480006772559136e-06
2297,51618,2,2,1,3.05499997921288e-06
2298,22012,2,1,0,1.7540005501359701e-06
2299,48211,2,0,0,1.5859986888244748e-06
2300,18858,2,2,1,3.2989992178045213e-06
2301,76207,2,2,1,3.273002221249044e-06
2302,46235,2,1,0,1.7089987522922456e-06
2303,68023,2,2,1,3.216999175492674e-06
2304,76216,2,2,1,3.38700192514807e-06
2305,43459,3,2,1,4.5100023271515965e-06
2306,43460,2,2,1,3.3389987947884947e-06
2307,23990,2,1,0,1.8789978639688343e-06
2308,43462,2,2,1,3.5370030673220754e-06
2309,2503,2,2,1,3.2280004234053195e-06
2310,10705,2,2,1,3.801997081609443e-06
2311,68052,2,2,1,3.1419986044056714e-06
2312,68053,2,1,0,1.7019992810674012e-06
2313,10709,2,2,1,3.0519986466970295e-06
2314,59865,2,2,1,8.413000614382327e-06
2315,89112,2,1,0,3.098000888712704e-06
2316,68065,2,2,1,4.622001142706722e-06
2317,18916,2,2,1,3.6040000850334764e-06
2318,68071,2,2,1,3.5150005714967847e-06
2319,44310,2,1,0,1.8899991118814796e-06
2320,2538,2,2,2,4.68700091005303e-06
2321,18924,2,2,2,9.036000847117975e-06
2322,18926,2,2,2,4.1530001908540726e-06
2323,27120,2,2,1,3.6750025174114853e-06
2324,27121,2,1,0,1.7569982446730137e-06
2325,10756,2,2,1,3.7530007830355316e-06
2326,51720,2,2,1,3.460001607891172e-06
2327,68120,2,2,1,3.215998731320724e-06
2328,59932,2,2,1,3.5760022001340985e-06
2329,80518,2,1,0,1.7730017134454101e-06
2330,59937,2,2,1,3.896999260177836e-06
2331,76327,2,2,1,3.435998223721981e-06
2332,59955,2,2,1,3.125001967418939e-06
2333,59972,2,2,1,3.364999429322779e-06
2334,19025,2,2,1,2.8949980332981795e-06
2335,68180,2,2,1,3.82300277124159e-06
2336,69179,2,1,0,1.6800004232209176e-06
2337,35426,2,2,1,3.4420008887536824e-06
2338,80423,2,1,0,1.6689991753082722e-06
2339,10851,2,2,1,3.66400126949884e-06
2340,22590,2,1,0,1.7639977158978581e-06
2341,60009,2,2,1,3.335000656079501e-06
2342,2666,2,2,1,3.5939992812927812e-06
2343,60010,2,2,1,3.96000177715905e-06
2344,60012,2,2,1,3.102002665400505e-06
2345,10867,2,2,1,3.283999831182882e-06
2346,48476,2,1,0,1.886997779365629e-06
2347,84599,2,2,1,3.6050005292054266e-06
2348,43651,2,2,1,3.1989984563551843e-06
